ngram,doc_freq,doc_freq_ratio
"('ADV', 'ADP', 'DET', 'NOUN')",1526,0.0763
"('DET', 'ADJ', 'ADJ', 'NOUN')",1517,0.07585
"('NOUN', 'PUNCT', 'CCONJ', 'PRON')",1516,0.0758
"('DET', 'NOUN', 'PUNCT', 'PUNCT')",1516,0.0758
"('PRON', 'AUX', 'DET')",1504,0.0752
"('VERB', 'SCONJ', 'PRON')",1491,0.07455
"('ADV', 'VERB', 'ADP')",1483,0.07415
"('PRON', 'PUNCT', 'PRON')",1481,0.07405
"('VERB', 'ADP', 'PRON', 'NOUN')",1481,0.07405
"('ADP', 'PROPN', 'PROPN')",1476,0.0738
"('CCONJ', 'DET', 'ADJ')",1472,0.0736
"('SCONJ', 'PRON', 'AUX', 'VERB')",1467,0.07335
"('DET', 'VERB')",1465,0.07325
"('ADJ', 'PUNCT', 'ADJ')",1462,0.0731
"('PUNCT', 'CCONJ', 'PRON', 'AUX')",1458,0.0729
"('ADP', 'DET', 'NOUN', 'CCONJ')",1457,0.07285
"('ADP', 'PRON', 'ADJ')",1455,0.07275
"('ADJ', 'NOUN', 'PUNCT', 'DET')",1448,0.0724
"('VERB', 'PUNCT', 'PRON')",1447,0.07235
"('CCONJ', 'VERB', 'ADP')",1443,0.07215
"('DET', 'ADJ', 'NOUN', 'VERB')",1442,0.0721
"('ADP', 'NOUN', 'CCONJ')",1441,0.07205
"('NOUN', 'ADJ')",1433,0.07165
"('AUX', 'VERB', 'DET', 'NOUN')",1433,0.07165
"('INTJ', 'PUNCT')",1428,0.0714
"('ADV', 'DET')",1426,0.0713
"('PUNCT', 'INTJ')",1426,0.0713
"('NOUN', 'AUX', 'ADJ')",1420,0.071
"('ADV', 'PUNCT', 'PRON')",1417,0.07085
"('PUNCT', 'CCONJ', 'PRON', 'VERB')",1411,0.07055
"('PROPN', 'CCONJ')",1408,0.0704
"('ADV', 'ADJ', 'PUNCT')",1399,0.06995
"('ADP', 'ADP', 'DET')",1399,0.06995
"('PART', 'VERB', 'DET', 'NOUN')",1379,0.06895
"('NOUN', 'VERB', 'DET', 'NOUN')",1375,0.06875
"('VERB', 'ADP', 'ADJ')",1375,0.06875
"('DET', 'NOUN', 'PART')",1369,0.06845
"('PUNCT', 'VERB', 'NOUN')",1366,0.0683
"('PUNCT', 'PRON', 'AUX', 'PART')",1362,0.0681
"('NOUN', 'ADP', 'NOUN', 'ADP')",1358,0.0679
"('ADJ', 'NOUN', 'PUNCT', 'VERB')",1354,0.0677
"('DET', 'ADJ', 'NOUN', 'NOUN')",1353,0.06765
"('PART', 'VERB', 'PUNCT')",1351,0.06755
"('PUNCT', 'DET', 'ADJ', 'NOUN')",1341,0.06705
"('DET', 'NOUN', 'PUNCT', 'VERB')",1336,0.0668
"('ADP', 'ADV')",1324,0.0662
"('AUX', 'DET', 'ADJ')",1321,0.06605
"('NUM', 'PUNCT')",1321,0.06605
"('VERB', 'ADP', 'PROPN')",1317,0.06585
"('PUNCT', 'CCONJ', 'ADV')",1313,0.06565
"('NOUN', 'NOUN', 'ADP', 'DET')",1310,0.0655
"('AUX', 'VERB', 'ADV')",1301,0.06505
"('CCONJ', 'ADP')",1299,0.06495
"('PUNCT', 'INTJ', 'PUNCT')",1298,0.0649
"('ADJ', 'NOUN', 'VERB', 'ADP')",1294,0.0647
"('VERB', 'PRON', 'NOUN', 'PUNCT')",1293,0.06465
"('NOUN', 'SCONJ', 'PRON')",1283,0.06415
"('PRON', 'VERB', 'DET', 'ADJ')",1282,0.0641
"('NOUN', 'AUX', 'ADV')",1281,0.06405
"('DET', 'NOUN', 'ADP', 'ADJ')",1270,0.0635
"('DET', 'NOUN', 'VERB', 'DET')",1269,0.06345
"('NOUN', 'PUNCT', 'ADJ')",1265,0.06325
"('NOUN', 'ADP', 'PRON', 'PUNCT')",1264,0.0632
"('DET', 'NOUN', 'ADV')",1263,0.06315
"('PRON', 'VERB', 'ADP', 'DET')",1262,0.0631
"('VERB', 'ADP', 'PRON', 'PUNCT')",1256,0.0628
"('PUNCT', 'CCONJ', 'DET', 'NOUN')",1250,0.0625
"('VERB', 'PUNCT', 'CCONJ')",1247,0.06235
"('ADV', 'ADV', 'PUNCT')",1247,0.06235
"('NOUN', 'PUNCT', 'CCONJ', 'DET')",1243,0.06215
"('ADJ', 'ADJ', 'NOUN', 'PUNCT')",1242,0.0621
"('NOUN', 'NOUN', 'VERB')",1241,0.06205
"('DET', 'ADV')",1238,0.0619
"('PUNCT', 'DET', 'NOUN', 'ADP')",1237,0.06185
"('PRON', 'AUX', 'VERB', 'DET')",1236,0.0618
"('PUNCT', 'PUNCT', 'PROPN')",1236,0.0618
"('ADJ', 'NOUN', 'PRON')",1234,0.0617
"('NOUN', 'CCONJ', 'ADJ')",1233,0.06165
"('NOUN', 'ADV', 'PUNCT')",1230,0.0615
"('PROPN', 'PART', 'NOUN')",1223,0.06115
"('PUNCT', 'PROPN', 'VERB')",1213,0.06065
"('NOUN', 'PUNCT', 'PUNCT', 'PRON')",1207,0.06035
"('ADJ', 'NOUN', 'ADP', 'PRON')",1203,0.06015
"('DET', 'PROPN', 'PROPN')",1203,0.06015
"('VERB', 'PRON', 'AUX')",1198,0.0599
"('PUNCT', 'VERB', 'PROPN')",1197,0.05985
"('NOUN', 'PUNCT', 'NOUN', 'PUNCT')",1195,0.05975
"('DET', 'VERB', 'NOUN')",1195,0.05975
"('PRON', 'ADV', 'VERB')",1194,0.0597
"('CCONJ', 'VERB', 'PRON')",1194,0.0597
"('ADJ', 'ADP', 'DET', 'NOUN')",1190,0.0595
"('ADJ', 'NOUN', 'PUNCT', 'PUNCT')",1187,0.05935
"('PUNCT', 'VERB', 'ADP', 'DET')",1186,0.0593
"('VERB', 'PRON', 'VERB')",1184,0.0592
"('PUNCT', 'PRON', 'VERB', 'ADP')",1183,0.05915
"('ADP', 'DET', 'NOUN', 'VERB')",1174,0.0587
"('PRON', 'VERB', 'PUNCT', 'PUNCT')",1174,0.0587
"('ADP', 'DET', 'NOUN', 'PRON')",1171,0.05855
"('PRON', 'NOUN', 'AUX')",1166,0.0583
"('NOUN', 'DET')",1165,0.05825
"('DET', 'ADJ', 'NOUN', 'CCONJ')",1159,0.05795
"('NOUN', 'CCONJ', 'DET', 'NOUN')",1159,0.05795
"('PUNCT', 'PRON', 'NOUN')",1158,0.0579
"('PUNCT', 'PRON', 'AUX', 'ADV')",1156,0.0578
"('PRON', 'DET')",1153,0.05765
