ngram,doc_freq,doc_freq_ratio
"('conj', 'conj', 'cc')",418,0.0209
"('ccomp', 'advcl', 'prep')",418,0.0209
"('ccomp', 'advcl', 'advmod')",415,0.02075
"('advcl', 'conj', 'prep', 'pobj')",414,0.0207
"('conj', 'nsubj', 'poss')",413,0.02065
"('nsubj', 'advmod')",412,0.0206
"('conj', 'ccomp', 'dobj')",412,0.0206
"('xcomp', 'prt')",410,0.0205
"('conj', 'ccomp', 'mark')",408,0.0204
"('npadvmod', 'compound')",408,0.0204
"('xcomp', 'ccomp', 'nsubj')",407,0.02035
"('xcomp', 'cc')",404,0.0202
"('ccomp', 'attr', 'prep', 'pobj')",403,0.02015
"('pobj', 'conj', 'prep')",401,0.02005
